track,group,sessionIndexInTrack,sessionDate,sessionTimeStart,sessionTimeEnd,sessionTitle,sessionRoom,sessionChair,paperKey,paperIndexInTrack,paperIndexInSession,paperTitle,paperAuthorList,paperSpotlight,paperPdfLink,paperPdfLinkFile,paperDemoLink,paperAuthorAffiliation,paperKeywordList,paperAbstract,idLncs,idEasyChair,EOL
﻿"track/inuse","","01","","11:00","12:30","Infrastructure","Statler","Tudor Groza","","01","01","ourSpaces - Design and Deployment of a Semantic Virtual Research Environment","Peter Edwards, Edoardo Pignotti, Alan Eckhardt, Kapila Ponnamperuma, Chris Mellish and Thomas Bouttaz","","http://iswc2012.semanticweb.org/sites/default/files/76500049.pdf","pdf/76500049.pdf","","","","","","",
﻿"track/inuse","","01","","11:00","12:30","Infrastructure","Statler","Tudor Groza","","02","02","Using SPARQL to Query BioPortal Ontologies and Metadata","Manuel Salvadores, Matthew Horridge, Paul Alexander, Ray W. Fergerson, Mark Musen and Natasha F. Noy","","http://iswc2012.semanticweb.org/sites/default/files/76500177.pdf","pdf/76500177.pdf","","","","","","",
﻿"track/inuse","","01","","11:00","12:30","Infrastructure","Statler","Tudor Groza","","03","03","Managing the life-cycle of Linked Data with the LOD2 Stack","Sören Auer, Lorenz Bühmann, Jens Lehmann, Michael Hausenblas, Sebastian Tramp, Bert van Nuffelen, Pablo Mendes, Christian Dirschl, Robert Isele, Hugh Williams and Orri Erling","","http://iswc2012.semanticweb.org/sites/default/files/76500001.pdf","pdf/76500001.pdf","","","","","","",
﻿"track/inuse","","02","","02:00","03:30","eGov and Smart Cities","Statler","Tom Heath","","04","01","QuerioCity: A Linked Data Platform for Urban Information Management","Vanessa Lopez, Spyros Kotoulas, Marco Luca Sbodio, Martin Stephenson, Aris Gkoulalas-Divanis and Pol Mac Aonghusa","","http://iswc2012.semanticweb.org/sites/default/files/76500145.pdf","pdf/76500145.pdf","","","","","","",
﻿"track/inuse","","02","","02:00","03:30","eGov and Smart Cities","Statler","Tom Heath","","05","02","Trentino government linked open geo-data: a case study","Pavel Shvaiko, Feroz Farazi, Vincenzo Maltese, Alexander Ivanyukovich, Veronica Rizzi, Daniela Ferrari and Giuliana Ucelli","","http://iswc2012.semanticweb.org/sites/default/files/76500193.pdf","pdf/76500193.pdf","","","","","","",
﻿"track/inuse","","02","","02:00","03:30","eGov and Smart Cities","Statler","Tom Heath","","06","03","Linking Smart Cities Datasets with Human Computation - the case of UrbanMatch","Irene Celino, Simone Contessa, Marta Corubolo, Daniele Dell'Aglio, Emanuele Della Valle, Stefano Fumeo and Thorsten Krueger","","http://iswc2012.semanticweb.org/sites/default/files/76500033.pdf","pdf/76500033.pdf","","","","","","",
﻿"track/inuse","","03","","04:00","05:30","Applications","Statler","Peter Mika","","07","01","Applying Semantic Web Technologies for Diagnosing Road Traffic Congestions","Freddy Lecue, Anika Schumann and Marco Sbodio","","http://iswc2012.semanticweb.org/sites/default/files/76500113.pdf","pdf/76500113.pdf","","","","","","",
﻿"track/inuse","","03","","04:00","05:30","Applications","Statler","Peter Mika","","08","02","Toward an ecosystem of LOD in the field: LOD content generation and its consuming service","Takahiro Kawamura","","http://iswc2012.semanticweb.org/sites/default/files/76500097.pdf","pdf/76500097.pdf","","","","","","",
﻿"track/inuse","","04","","11:00","12:30","Question Answering and NLP","Statler","Amal Zouaq","","09","01","DEQA: Deep Web Extraction for Question Answering","Jens Lehmann, Tim Furche, Giovanni Grasso, Axel-Cyrille Ngonga Ngomo, Christian Schallhart, Andrew Sellers, Christina Unger, Lorenz Bühmann, Daniel Gerber, Konrad Höffner, David Liu and Sören Auer","","http://iswc2012.semanticweb.org/sites/default/files/76500129.pdf","pdf/76500129.pdf","","","","","","",
﻿"track/inuse","","04","","11:00","12:30","Question Answering and NLP","Statler","Amal Zouaq","","10","02","Comparing Hard Filters to Soft Evidence Scoring for Answer Typing in Watson","Chris Welty, J William Murdock, Aditya Kalyanpur and James Fan","","http://iswc2012.semanticweb.org/sites/default/files/76500240.pdf","pdf/76500240.pdf","","","","","","",
﻿"track/inuse","","04","","11:00","12:30","Question Answering and NLP","Statler","Amal Zouaq","","11","03","Query Driven Hypothesis Generation for Answering Queries over NLP Graphs","Chris Welty, Ken Barker, Lora Aroyo and Shilpa Arora","","http://iswc2012.semanticweb.org/sites/default/files/76500225.pdf","pdf/76500225.pdf","","","","","","",
﻿"track/inuse","","05","","11:00","12:30","Semantic Web in Biomedicine","Arlington","Natasha Noy","","12","01","Experiences with modeling composite phenotypes in the SKELETOME project","Tudor Groza, Andreas Zankl and Jane Hunter","","http://iswc2012.semanticweb.org/sites/default/files/76500081.pdf","pdf/76500081.pdf","","","","","","",
﻿"track/inuse","","05","","11:00","12:30","Semantic Web in Biomedicine","Arlington","Natasha Noy","","13","02","Semantic similarity-driven decision support in the skeletal dysplasia domain","Razan Paul, Tudor Groza, Andreas Zankl and Jane Hunter","","http://iswc2012.semanticweb.org/sites/default/files/76500161.pdf","pdf/76500161.pdf","","","","","","",
﻿"track/inuse","","05","","11:00","12:30","Semantic Web in Biomedicine","Arlington","Natasha Noy","","14","03","Semantic Reasoning in Context-Aware Assistive Environments to Support Ageing with Dementia","Thibaut Tiberghien, Mounir Mokhtari, Hamdi Aloulou and Jit Biswas","","http://iswc2012.semanticweb.org/sites/default/files/76500209.pdf","pdf/76500209.pdf","","","","","","",
﻿"track/inuse","","06","","02:00","03:30","Applied Reasoning and Querying","Statler","Pascal Hitzler","","15","01","Embedded EL+ Reasoning on Programmable Logic Controllers","Stephan Grimm, Michael Watzke, Thomas Hubauer and Falco Cescolini","","http://iswc2012.semanticweb.org/sites/default/files/76500065.pdf","pdf/76500065.pdf","","","","","","",
