s,personLabel,paper,roleLabel,event,listAffiliation
person:pedro-debevere,Pedro Debevere,iswc2012:paper/poster-demo-10,,,Ghent University
person:pedro-szekely,Pedro Szekely,iswc2012:paper/research-02,,,"Information Sciences Institute, University of Southern California"
person:peter-boncz,Peter Boncz,iswc2012:paper/evaluation-10,,,Centrum Wiskunde & Informatica (CWI)
person:peter-boncz,Peter Boncz,iswc2012:paper/research-31,,,Centrum Wiskunde & Informatica (CWI)
person:peter-edwards,Peter Edwards,iswc2012:paper/inuse-54,,,University of Aberdeen
person:peter-edwards,Peter Edwards,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:peter-haase,Peter Haase,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,fluid Operations
person:peter-haase,Peter Haase,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,fluid Operations
person:peter-haase,Peter Haase,iswc2012:paper/industry-04,,,fluid Operations
person:peter-mika,Peter Mika,,ISWC2012 Sponsorship Chair,http://data.semanticweb.org/conference/iswc/2012,Yahoo! Research
person:peter-mika,Peter Mika,,ISWC2012 Session Chair,iswc2012:session/inuse-03,Yahoo! Research
person:peter-mika,Peter Mika,,ISWC2012 Session Chair,iswc2012:special/schema-org,Yahoo! Research
person:peter-mika,Peter Mika,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Yahoo! Research
person:peter-mika,Peter Mika,iswc2012:paper/research-31,,,Yahoo! Research
person:peter-patel-schneider,Peter Patel-Schneider,,ISWC2012 Session Chair,iswc2012:session/research-12,Nuance Communications
person:peter-patel-schneider,Peter Patel-Schneider,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,Nuance Communications
person:peter-patel-schneider,Peter Patel-Schneider,iswc2012:paper/poster-demo-01,,,Nuance Communications
person:peter-patel-schneider,Peter Patel-Schneider,iswc2012:paper/research-17,,,Nuance Communications
person:philipp-cimiano,Philipp Cimiano,,Workshop Chair,workshop:msw/2012,Bielefeld University
person:philipp-cimiano,Philipp Cimiano,iswc2012:paper/evaluation-15,,,Bielefeld University
person:philipp-fleiss,Philipp Fleiss,iswc2012:paper/poster-demo-45,,,Alpen-Adria Universität
person:philipp-fleiss,Philipp Fleiss,iswc2012:paper/poster-demo-64,,,Alpen-Adria Universität
person:philippe-cudre-mauroux,Philippe Cudré-Mauroux,,ISWC2012 Program Chair,http://data.semanticweb.org/conference/iswc/2012,University of Fribourg
person:philippe-cudre-mauroux,Philippe Cudré-Mauroux,,ISWC2012 Program Chair,iswc2012:track/research,University of Fribourg
person:philippe-cudre-mauroux,Philippe Cudré-Mauroux,iswc2012:paper/evaluation-17,,,University of Fribourg
person:philippe-cudre-mauroux,Philippe Cudré-Mauroux,iswc2012:proceedings,,,University of Fribourg
person:philippe-thiran,Philippe Thiran,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Namur
person:pieterjan-de-potter,Pieterjan De Potter,iswc2012:paper/poster-demo-10,,,Ghent University
person:pol-mac-aonghusa,Pol Mac Aonghusa,iswc2012:paper/inuse-39,,,IBM Research
person:pol-mac-aonghusa,Pol Mac Aonghusa,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:prasenjit-mitra,Prasenjit Mitra,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Pennsylvania State University
person:qiang-yang,Qiang Yang,iswc2012:paper/research-22,,,Hong Kong University of Science and Technology
person:qunzhi-zhou,Qunzhi Zhou,iswc2012:paper/inuse-72,,,University of Southern California
person:rafael-s-goncalves,Rafael S. Gonçalves,iswc2012:paper/research-06,,,University of Manchester
person:rafael-s-goncalves,Rafael S. Gonçalves,iswc2012:paper/research-35,,,University of Manchester
person:raghava-mutharaju,Raghava Mutharaju,iswc2012:paper/doctor-consortium-05,,,"Kno.e.sis Center, Wright State University"
person:rahul-parundekar,Rahul Parundekar,iswc2012:paper/research-28,,,"Information Sciences Institute, University of Southern California"
person:ralf-heese,Ralf Heese,iswc2012:paper/research-07,,,Free University of Berlin
person:ralf-moller,Ralf Möller,iswc2012:paper/research-18,,,Technical University of Hamburg
person:ramakanth-kavuluru,Ramakanth Kavuluru,iswc2012:paper/semantic-web-challenge-open-02,,,University of Kentucky
person:raphael-troncy,Raphaël Troncy,,ISWC2012 Session Chair,iswc2012:session/research-10,EURECOM
person:raphael-troncy,Raphaël Troncy,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,EURECOM
person:raphael-troncy,Raphaël Troncy,,PC Member at ISWC2012(Research Track),iswc2012:track/research,EURECOM
person:raphael-troncy,Raphaël Troncy,,Workshop Chair,workshop:derive/2012,EURECOM
person:raphael-troncy,Raphaël Troncy,iswc2012:paper/poster-demo-02,,,EURECOM
person:raphael-troncy,Raphaël Troncy,iswc2012:paper/poster-demo-54,,,EURECOM
person:raphael-troncy,Raphaël Troncy,iswc2012:paper/semantic-web-challenge-open-21,,,EURECOM
person:raul-garcia-castro,Raúl García-Castro,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Universidad Politecnica de Madrid
person:ray-w-fergerson,Ray W. Fergerson,iswc2012:paper/inuse-53,,,Stanford University
person:raymond-lloyd,Raymond Lloyd,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:razan-paul,Razan Paul,iswc2012:paper/inuse-17,,,University of Queensland
person:rehab-albeladi,Rehab Albeladi,iswc2012:paper/doctor-consortium-08,,,University of Southampton
person:renaud-delbru,Renaud Delbru,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:renaud-delbru,Renaud Delbru,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:ricardo-kawase,Ricardo Kawase,iswc2012:paper/poster-demo-11,,,L3S Research Center
person:riccardo-rosati,Riccardo Rosati,iswc2012:paper/evaluation-41,,,Sapienza Università di Roma
person:richard-boyce,Richard Boyce,,Workshop Chair,workshop:satbi-swim/2012,University of Pittstburgh
person:richard-cyganiak,Richard Cyganiak,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:riichiro-mizoguchi,Riichiro Mizoguchi,iswc2012:paper/poster-demo-51,,,Osaka University
person:rik-van-de-walle,Rik Van de Walle,iswc2012:paper/poster-demo-02,,,Ghent University
person:rik-van-de-walle,Rik Van de Walle,iswc2012:paper/poster-demo-10,,,Ghent University
person:rinke-hoekstra,Rinke Hoekstra,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,VU Amsterdam
person:robert-engels,Robert Engels,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,self
person:robert-engels,Robert Engels,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,self
person:robert-isele,Robert Isele,iswc2012:paper/inuse-51,,,Free University of Berlin
person:robert-isele,Robert Isele,iswc2012:paper/semantic-web-challenge-open-06,,,Free University of Berlin
person:robert-stevens,Robert Stevens,,Workshop Chair,workshop:satbi-swim/2012,University of Manchester
person:roberto-garcia,Roberto Garcia,iswc2012:paper/poster-demo-29,,,Universitat de Lleida
person:roger-hall,Roger Hall,iswc2012:paper/poster-demo-48,,,UALR
person:rolf-grutter,Rolf Grütter,,Workshop Chair,workshop:terra/2012,"Swiss Federal Institute for Forest, Snow and Landscape Research"
person:roman-prokofyev,Roman Prokofyev,iswc2012:paper/evaluation-17,,,University of Fribourg
person:romina-spalazzese,Romina Spalazzese,iswc2012:paper/inuse-35,,,University of L'Aquila
person:rommel-n-carvalho,Rommel N. Carvalho,,Workshop Chair,workshop:ursw/2012,George Mason University
person:ruben-verborgh,Ruben Verborgh,iswc2012:paper/poster-demo-02,,,Ghent University
person:ruben-verborgh,Ruben Verborgh,iswc2012:paper/poster-demo-10,,,Ghent University
person:rudi-studer,Rudi Studer,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"AIFB, Karlsruhe Institute of Technology"
person:russell-newman,Russell Newman,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:ryutaro-ichise,Ryutaro Ichise,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,National Institute of Informatics
person:sa-kwang-song,Sa-Kwang Song,iswc2012:paper/semantic-web-challenge-open-07,,,Korea Institute of Science and Technology Information
person:sakthi-sundaram,Sakthi Sundaram,iswc2012:paper/industry-05,,,Cisco
person:sam-coppens,Sam Coppens,iswc2012:paper/poster-demo-10,,,Ghent University
person:sambhawa-priya,Sambhawa Priya,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:sandro-hawke,Sandro Hawke,,PC Member at ISWC2012(Research Track),iswc2012:track/research,W3C
person:sara-magliacane,Sara Magliacane,iswc2012:paper/doctor-consortium-04,,,VU Amsterdam
person:sara-magliacane,Sara Magliacane,iswc2012:paper/research-10,,,VU Amsterdam
person:satya-sahoo,Satya Sahoo,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Case Western Reserve University
person:satya-sahoo,Satya Sahoo,iswc2012:paper/semantic-web-challenge-open-02,,,Case Western Reserve University
person:sean-felten,Sean Felten,iswc2012:paper/industry-02,,,YarcData
person:sebastian-hellmann,Sebastian Hellmann,,Workshop Chair,workshop:wole/2012,AKSW
person:sebastian-krause,Sebastian Krause,iswc2012:paper/research-38,,,DFKI
person:sebastian-rudolph,Sebastian Rudolph,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"AIFB, Karlsruhe Institute of Technology"
person:sebastian-tramp,Sebastian Tramp,iswc2012:paper/inuse-51,,,University of Leipzig
person:sebastian-walter,Sebastian Walter,iswc2012:paper/evaluation-15,,,Bielefeld University
person:seema-sundara,Seema Sundara,iswc2012:paper/industry-07,,,Oracle
person:seppo-torma,Seppo Törmä,iswc2012:paper/poster-demo-22,,,Aalto University
person:serena-villata,Serena Villata,iswc2012:paper/poster-demo-23,,,INRIA
person:sergio-tessaris,Sergio Tessaris,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Free University of Bozen-Bolzano
person:shashank-tyagi,Shashank Tyagi,iswc2012:paper/inuse-35,,,IT-BHU
person:shenghui-wang,Shenghui Wang,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,OCLC
person:shenghui-wang,Shenghui Wang,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,OCLC
person:sherif-sakr,Sherif Sakr,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,University of New South Wales
person:shilpa-arora,Shilpa Arora,iswc2012:paper/inuse-26,,,CMU
person:shonali-krishnaswamy,Shonali Krishnaswamy,iswc2012:paper/research-36,,,Monash University
person:shu-rong,Shu Rong,iswc2012:paper/research-22,,,Shanghai Jiao Tong University
person:siegfried-handschuh,Siegfried Handschuh,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:siegfried-handschuh,Siegfried Handschuh,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"DERI, NUI Galway"
person:siegfried-handschuh,Siegfried Handschuh,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:simone-contessa,Simone Contessa,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:simone-contessa,Simone Contessa,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:soeren-auer,Sören Auer,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,TU Chemnitz
person:soeren-auer,Sören Auer,,PC Member at ISWC2012(Research Track),iswc2012:track/research,TU Chemnitz
person:soeren-auer,Sören Auer,iswc2012:paper/inuse-51,,,TU Chemnitz
person:soeren-auer,Sören Auer,iswc2012:paper/inuse-71,,,TU Chemnitz
person:soeren-auer,Sören Auer,iswc2012:paper/poster-demo-29,,,TU Chemnitz
person:songyun-duan,Songyun Duan,iswc2012:paper/research-23,,,IBM Research
person:sonia-bergamaschi,Sonia Bergamaschi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Modena and Reggio Emilia
person:souripriya-das,Souripriya Das,iswc2012:paper/industry-07,,,Oracle
person:spiros-skiadopoulos,Spiros Skiadopoulos,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Peloponnese
person:spyros-kotoulas,Spyros Kotoulas,iswc2012:paper/inuse-39,,,IBM Research
person:spyros-kotoulas,Spyros Kotoulas,iswc2012:paper/research-31,,,IBM Research
person:spyros-kotoulas,Spyros Kotoulas,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:stefan-decker,Stefan Decker,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:stefan-dietze,Stefan Dietze,,PC Member at ISWC2012(Research Track),iswc2012:track/research,L3S Research Center
person:stefan-dietze,Stefan Dietze,,Workshop Chair,workshop:kecsm/2012,L3S Research Center
person:stefan-mirea,Stefan Mirea,iswc2012:paper/semantic-web-challenge-open-20,,,Jacobs University
person:stefan-schlobach,Stefan Schlobach,,PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:stefan-schlobach,Stefan Schlobach,,Tutorial Organizer,iswc2012:tutorial-9,VU Amsterdam
person:stefan-schlobach,Stefan Schlobach,iswc2012:paper/research-19,,,VU Amsterdam
person:stefano-fumeo,Stefano Fumeo,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:stefano-fumeo,Stefano Fumeo,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:steffen-staab,Steffen Staab,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,University of Koblenz and Landau
person:steffen-staab,Steffen Staab,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Koblenz and Landau
person:steffen-staab,Steffen Staab,,Workshop Chair,workshop:psw/2012,University of Koblenz and Landau
person:steffen-staab,Steffen Staab,iswc2012:paper/research-32,,,University of Koblenz and Landau
person:steffen-stadtmuller,Steffen Stadtmüller,iswc2012:paper/doctor-consortium-15,,,"AIFB, Karlsruhe Institute of Technology"
person:steffen-stadtmuller,Steffen Stadtmüller,iswc2012:paper/research-01,,,"AIFB, Karlsruhe Institute of Technology"
person:stephan-grimm,Stephan Grimm,iswc2012:paper/inuse-09,,,"Siemens AG, Corporate Technology"
person:stephane-corlosquet,Stéphane Corlosquet,,ISWC2012 Webmaster Chair,http://data.semanticweb.org/conference/iswc/2012,Massachusetts General Hospital
person:stephane-corlosquet,Stéphane Corlosquet,iswc2012:paper/industry-06,,,Massachusetts General Hospital
person:steve-harris,Steve Harris,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Garlik
person:steve-harris,Steve Harris,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Garlik
person:steven-jennings,Steven Jennings,iswc2012:paper/poster-demo-48,,,UALR
person:stuart-brown,Stuart Brown,iswc2012:paper/industry-08,,,"Communications, The Open University"
person:stuart-wrigley,Stuart Wrigley,iswc2012:paper/evaluation-18,,,University of Sheffield
person:sudeshna-das,Sudeshna Das,iswc2012:paper/industry-06,,,Massachusetts General Hospital
person:szymon-klarman,Szymon Klarman,iswc2012:paper/research-19,,,VU Amsterdam
person:takahiro-kawamura,Takahiro Kawamura,iswc2012:paper/inuse-04,,,Toshiba
person:takahisa-fujino,Takahisa Fujino,iswc2012:paper/poster-demo-57,,,Shizuoka University
person:takeshi-imai,Takeshi Imai,iswc2012:paper/poster-demo-51,,,University of Tokyo
person:tania-tudorache,Tania Tudorache,,ISWC2012 Semantic Web In Use Chair,http://data.semanticweb.org/conference/iswc/2012,Stanford University
person:tania-tudorache,Tania Tudorache,,ISWC2012 Semantic Web In Use Chair,iswc2012:track/inuse,Stanford University
person:tania-tudorache,Tania Tudorache,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Stanford University
person:tania-tudorache,Tania Tudorache,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Stanford University
person:tania-tudorache,Tania Tudorache,iswc2012:proceedings,,,Stanford University
person:tejaswini-pendurthi,Tejaswini Pendurthi,iswc2012:paper/poster-demo-48,,,UALR
person:thanh-tran,Thanh Tran,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"AIFB, Karlsruhe Institute of Technology"
person:thanos-g-stavropoulos,Thanos G. Stavropoulos,iswc2012:paper/semantic-web-challenge-open-03,,,Aristotle University of Thessaloniki
person:themistoklis-herekakis,Themistoklis Herekakis,iswc2012:paper/poster-demo-28,,,National Observatory of Athens
person:themistoklis-herekakis,Themistoklis Herekakis,iswc2012:paper/semantic-web-challenge-open-17,,,National Observatory of Athens
person:thetida-zetta,Thetida Zetta,iswc2012:paper/semantic-web-challenge-open-08,,,Aristotle University of Thessaloniki;Cardiff University
person:thibaut-tiberghien,Thibaut Tiberghien,iswc2012:paper/inuse-10,,,"Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:thierry-declerck,Thierry Declerck,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,DFKI
person:thomas-bosch,Thomas Bosch,iswc2012:paper/doctor-consortium-09,,,GESIS - Leibniz Institute for the Social Sciences
person:thomas-bouttaz,Thomas Bouttaz,iswc2012:paper/inuse-54,,,University of Aberdeen
person:thomas-bouttaz,Thomas Bouttaz,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:thomas-eiter,Thomas Eiter,iswc2012:paper/evaluation-10,,,Vienna University of Technology
person:thomas-gottron,Thomas Gottron,iswc2012:paper/semantic-web-challenge-btc-01,,,University of Koblenz and Landau
person:thomas-hubauer,Thomas Hubauer,iswc2012:paper/inuse-09,,,"Siemens AG, Corporate Technology"
person:thomas-krennwallner,Thomas Krennwallner,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Vienna University of Technology
person:thomas-lukasiewicz,Thomas Lukasiewicz,,Workshop Chair,workshop:sersy/2012,University of Oxford
person:thomas-lukasiewicz,Thomas Lukasiewicz,,Workshop Chair,workshop:ursw/2012,University of Oxford
person:thomas-malone,Thomas Malone,iswc2012:paper/keynote-1,,,MIT Sloan School of Management
person:thomas-rindflesch,Thomas Rindflesch,iswc2012:paper/semantic-web-challenge-open-02,,,National Library of Medicine
person:thomas-schandl,Thomas Schandl,iswc2012:paper/semantic-web-challenge-open-06,,,Semantic Web Company GmbH
person:thomas-scharrenbach,Thomas Scharrenbach,,ISWC2012 Worshop and Tutorial Chair,http://data.semanticweb.org/conference/iswc/2012,University of Zurich
person:thomas-steiner,Thomas Steiner,iswc2012:paper/poster-demo-02,,,Google
person:thomas-steiner,Thomas Steiner,iswc2012:paper/semantic-web-challenge-open-20,,,Google
person:thorsten-krueger,Thorsten Krueger,iswc2012:paper/inuse-78,,,Siemens AG
person:thorsten-liebig,Thorsten Liebig,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Derivo
person:thorsten-liebig,Thorsten Liebig,,Workshop Chair,workshop:swws_hpcsw/2012,Derivo
person:tim-berners-lee,Tim Berners-Lee,,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,W3C
person:tim-berners-lee,Tim Berners-Lee,,ISWC2012 Panellist,iswc2012:panel/big-graph-data,W3C
person:tim-berners-lee,Tim Berners-Lee,,ISWC2012 Industry Chair,iswc2012:track/industry,W3C
person:tim-berners-lee,Tim Berners-Lee,iswc2012:industry-proceedings,,,W3C
person:tim-clark,Tim Clark,iswc2012:paper/industry-06,,,Massachusetts General Hospital
person:tim-finin,Tim Finin,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Maryland Baltimore County
person:tim-furche,Tim Furche,iswc2012:paper/inuse-71,,,University of Oxford
person:timothy-lebo,Timothy Lebo,,Tutorial Organizer,iswc2012:tutorial-7,RPI
person:tobias-schuchert,Tobias Schuchert,iswc2012:paper/poster-demo-18,,,Fraunhofer
person:todd-minning,Todd Minning,iswc2012:paper/semantic-web-challenge-open-02,,,University of Georgia
person:tom-de-nies,Tom De Nies,iswc2012:paper/poster-demo-10,,,Ghent University
person:tom-heath,Tom Heath,,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,Talis
person:tom-heath,Tom Heath,,ISWC2012 Session Chair,iswc2012:session/industry-02,Talis
person:tom-heath,Tom Heath,,ISWC2012 Session Chair,iswc2012:session/industry-04,Talis
person:tom-heath,Tom Heath,,ISWC2012 Session Chair,iswc2012:session/inuse-02,Talis
person:tom-heath,Tom Heath,,ISWC2012 Session Chair,iswc2012:session/research-01,Talis
person:tom-heath,Tom Heath,,ISWC2012 Industry Chair,iswc2012:track/industry,Talis
person:tom-heath,Tom Heath,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Talis
person:tom-heath,Tom Heath,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Talis
person:tom-heath,Tom Heath,iswc2012:industry-proceedings,,,Talis
person:tomas-knap,Tomá Knap,iswc2012:paper/poster-demo-37,,,Charles University in Prague
person:tomas-vitvar,Tomas Vitvar,iswc2012:paper/research-08,,,Czech Technical University in Prague
person:tomi-kauppinen,Tomi Kauppinen,,Workshop Chair,workshop:lisc/2012,University of Münster
person:tommaso-di-noia,Tommaso Di Noia,,Workshop Chair,workshop:sersy/2012,Technical University of Bari
person:toshio-uchiyama,Toshio Uchiyama,iswc2012:paper/research-09,,,NTT
person:trent-schmidt,Trent Schmidt,iswc2012:paper/poster-demo-48,,,UALR
person:trevor-collins,Trevor Collins,iswc2012:paper/poster-demo-20,,,"KMi, The Open University"
person:trond-aalberg,Trond Aalberg,iswc2012:paper/research-37,,,Norwegian University of Science and Technology
person:tudor-groza,Tudor Groza,,ISWC2012 Session Chair,iswc2012:session/inuse-01,University of Queensland
person:tudor-groza,Tudor Groza,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Queensland
person:tudor-groza,Tudor Groza,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Queensland
person:tudor-groza,Tudor Groza,,Workshop Chair,workshop:evodyn/2012,University of Queensland
person:tudor-groza,Tudor Groza,iswc2012:paper/inuse-17,,,University of Queensland
person:tudor-groza,Tudor Groza,iswc2012:paper/inuse-18,,,University of Queensland
person:ulrike-sattler,Ulrike Sattler,iswc2012:paper/evaluation-35,,,University of Manchester
person:ulrike-sattler,Ulrike Sattler,iswc2012:paper/research-06,,,University of Manchester
person:ulrike-sattler,Ulrike Sattler,iswc2012:paper/research-35,,,University of Manchester
person:umberto-straccia,Umberto Straccia,,PC Member at ISWC2012(Research Track),iswc2012:track/research,ISTI-CNR
person:vaibhav-khadilkar,Vaibhav Khadilkar,iswc2012:paper/poster-demo-14,,,University of Texas at Dallas
person:valentina-maccatrozzo,Valentina Maccatrozzo,iswc2012:paper/doctor-consortium-03,,,VU Amsterdam
person:valentina-presutti,Valentina Presutti,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"STLab, ISTC-CNR"
person:valentina-presutti,Valentina Presutti,iswc2012:paper/research-13,,,"STLab, ISTC-CNR"
person:valentina-tamma,Valentina Tamma,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Liverpool
person:valeria-fionda,Valeria Fionda,iswc2012:paper/poster-demo-34,,,Free University of Bozen-Bolzano
person:valeria-fionda,Valeria Fionda,iswc2012:paper/semantic-web-challenge-open-01,,,Free University of Bozen-Bolzano
person:valerie-issarny,Valerie Issarny,iswc2012:paper/inuse-35,,,INRIA
person:vanessa-lopez,Vanessa Lopez,iswc2012:paper/inuse-39,,,IBM Research
person:vanessa-lopez,Vanessa Lopez,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:vasant-honavar,Vasant Honavar,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Iowa State University
person:vassilis-christophides,Vassilis Christophides,,PC Member at ISWC2012(Research Track),iswc2012:track/research,FORTH-ICS
person:veli-bicer,Veli Bicer,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:venkat-krishnamurthy,Venkat Krishnamurthy,iswc2012:paper/industry-02,,,YarcData
person:veronica-rizzi,Veronica Rizzi,iswc2012:paper/inuse-27,,,University of Trento
person:victor-de-boer,Victor de Boer,,Tutorial Organizer,iswc2012:tutorial-9,VU Amsterdam
person:viktor-prasanna,Viktor Prasanna,iswc2012:paper/inuse-72,,,University of Southern California
person:vinay-chaudhri,Vinay Chaudhri,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,SRI International
person:vincenzo-maltese,Vincenzo Maltese,iswc2012:paper/inuse-27,,,University of Trento
person:vinh-nguyen,Vinh Nguyen,iswc2012:paper/semantic-web-challenge-open-02,,,"Kno.e.sis Center, Wright State University"
person:vit-novacek,Vit Novacek,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"DERI, NUI Galway"
person:vit-novacek,Vit Novacek,,Workshop Chair,workshop:evodyn/2012,"DERI, NUI Galway"
person:vladimir-mikhailov,Vladimir Mikhailov,iswc2012:paper/industry-05,,,Cisco
person:volker-haarslev,Volker Haarslev,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Concordia University
person:volker-tresp,Volker Tresp,,Tutorial Organizer,iswc2012:tutorial-3,Ludwig Maximilians University of Munich; Siemens AG
person:vuk-milicic,Vuk Milicic,iswc2012:paper/semantic-web-challenge-open-21,,,EURECOM
person:walter-bender,Walter Bender,,Tutorial Organizer,iswc2012:tutorial-9,Sugar Labs
person:wei-hu,Wei Hu,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Nanjing University
person:wei-hu,Wei Hu,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Nanjing University
person:weinan-zhang,Weinan Zhang,iswc2012:paper/poster-demo-27,,,Shanghai Jiao Tong University
person:willem-van-hage,Willem Robert Van Hage,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,VU Amsterdam
person:willem-van-hage,Willem Robert Van Hage,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,VU Amsterdam
person:willem-van-hage,Willem Robert Van Hage,,Workshop Chair,workshop:derive/2012,VU Amsterdam
person:william-hogan,William Hogan,iswc2012:paper/poster-demo-48,,,UAMS
person:wim-peters,Wim Peters,,Workshop Chair,workshop:kecsm/2012,University of Sheffield
person:wolf-siberski,Wolf Siberski,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,L3S Research Center; University of Hannover
person:wolf-siberski,Wolf Siberski,,PC Member at ISWC2012(Research Track),iswc2012:track/research,L3S Research Center; University of Hannover
person:wolfgang-nejdl,Wolfgang Nejdl,,PC Member at ISWC2012(Research Track),iswc2012:track/research,L3S Research Center; University of Hannover
person:xing-niu,Xing Niu,iswc2012:paper/research-22,,,Shanghai Jiao Tong University
person:xingjian-zhang,Xingjian Zhang,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:yan-kang,Yan Kang,iswc2012:paper/semantic-web-challenge-open-14,,,University of Maryland
person:yannis-kalfoglou,Yannis Kalfoglou,,PC Member at ISWC2012(Research Track),iswc2012:track/research,self
person:yannis-tzitzikas,Yannis Tzitzikas,iswc2012:paper/poster-demo-16,,,University of Crete; FORTH-ICS
person:yannis-tzitzikas,Yannis Tzitzikas,iswc2012:paper/research-24,,,University of Crete; FORTH-ICS
person:yannis-tzitzikas,Yannis Tzitzikas,iswc2012:paper/semantic-web-challenge-open-09,,,University of Crete; FORTH-ICS
person:yasuhiro-fujiwara,Yasuhiro Fujiwara,iswc2012:paper/research-09,,,NTT
person:ying-zhang,Ying Zhang,iswc2012:paper/research-27,,,Centrum Wiskunde & Informatica (CWI)
person:yogesh-simmhan,Yogesh Simmhan,iswc2012:paper/inuse-72,,,University of Southern California
person:yohei-murakami,Yohei Murakami,,PC Member at ISWC2012(Research Track),iswc2012:track/research,NICT
person:yong-bin-kang,Yong-Bin Kang,iswc2012:paper/research-36,,,Monash University
