s,personLabel,paper,roleLabel,event,listAffiliation
person:david-huynh,David Huynh,iswc2012:poster-demo-proceedings,,,Google
person:david-karger,David Karger,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,MIT
person:david-lewis,David Lewis,,Workshop Chair,workshop:msw/2012,Trinity College Dublin
person:david-liu,David Liu,iswc2012:paper/inuse-71,,,University of Oxford
person:david-mizell,David Mizell,,Workshop Chair,workshop:swws_hpcsw/2012,YarcData
person:david-newman,David Newman,,Tutorial Organizer,iswc2012:tutorial-6,Wells Fargo Bank
person:david-norheim,David Norheim,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,Computas
person:david-norheim,David Norheim,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,Computas
person:david-shamma,David Shamma,,Workshop Chair,workshop:derive/2012,Yahoo! Research Silicon Valley
person:david-wood,David Wood,,ISWC2012 Sponsorship Chair,http://data.semanticweb.org/conference/iswc/2012,3roundstones
person:davy-van-deursen,Davy Van Deursen,iswc2012:paper/poster-demo-10,,,Ghent University
person:deborah-mcguinness,Deborah L. McGuinness,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,RPI
person:deborah-mcguinness,Deborah L. McGuinness,iswc2012:paper/poster-demo-26,,,RPI
person:deborah-mcguinness,Deborah L. McGuinness,iswc2012:paper/poster-demo-42,,,RPI
person:denilson-barbosa,Denilson Barbosa,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,University of Alberta
person:denny-vrandecic,Denny Vrandecic,,Workshop Chair,workshop:sw2022/2012,"AIFB, Karlsruhe Institute of Technology"
person:dezhao-song,Dezhao Song,iswc2012:paper/doctor-consortium-07,,,Lehigh University
person:dezhao-song,Dezhao Song,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:diana-maynard,Diana Maynard,,ISWC2012 Semantic Web Challenge Chair,http://data.semanticweb.org/conference/iswc/2012,University of Sheffield
person:diana-maynard,Diana Maynard,,ISWC2012 Session Chair,iswc2012:session/research-13,University of Sheffield
person:diana-maynard,Diana Maynard,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,University of Sheffield
person:diana-maynard,Diana Maynard,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Sheffield
person:diana-maynard,Diana Maynard,,ISWC2012 Semantic Web Challenge Chair,iswc2012:track/semantic-web-challenge,University of Sheffield
person:diana-maynard,Diana Maynard,,Workshop Chair,workshop:kecsm/2012,University of Sheffield
person:diana-maynard,Diana Maynard,iswc2012:semantic-web-challenge-proceedings,,,University of Sheffield
person:diego-calvanese,Diego Calvanese,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Free University of Bozen-Bolzano
person:diego-calvanese,Diego Calvanese,iswc2012:paper/poster-demo-59,,,Free University of Bozen-Bolzano
person:dimitrios-michail,Dimitrios Michail,iswc2012:paper/poster-demo-28,,,Harokopio University of Athens
person:dimitrios-michail,Dimitrios Michail,iswc2012:paper/semantic-web-challenge-open-17,,,Harokopio University of Athens
person:dimitris-plexousakis,Dimitris Plexousakis,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Crete; FORTH-ICS
person:dimitris-plexousakis,Dimitris Plexousakis,,Workshop Chair,workshop:evodyn/2012,University of Crete; FORTH-ICS
person:dimitris-vrakas,Dimitris Vrakas,iswc2012:paper/semantic-web-challenge-open-03,,,Aristotle University of Thessaloniki
person:dimitris-zeginis,Dimitris Zeginis,iswc2012:paper/poster-demo-16,,,Centre for Research and Technology Hellas (CERTH)
person:dimitris-zeginis,Dimitris Zeginis,iswc2012:paper/research-24,,,Centre for Research and Technology Hellas (CERTH)
person:do-heon-jeong,Do-Heon Jeong,iswc2012:paper/semantic-web-challenge-open-07,,,Korea Institute of Science and Technology Information
person:e-a-draffan,E.A. Draffan,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:edna-ruckhaus,Edna Ruckhaus,iswc2012:paper/evaluation-27,,,Universidad Simon Bolivar
person:edoardo-pignotti,Edoardo Pignotti,iswc2012:paper/inuse-54,,,University of Aberdeen
person:edoardo-pignotti,Edoardo Pignotti,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:efstratios-kontopoulos,Efstratios Kontopoulos,iswc2012:paper/semantic-web-challenge-open-08,,,Aristotle University of Thessaloniki
person:elena-cabrio,Elena Cabrio,iswc2012:paper/poster-demo-24,,,INRIA
person:elena-simperl,Elena Simperl,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,"AIFB, Karlsruhe Institute of Technology"
person:elena-simperl,Elena Simperl,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"AIFB, Karlsruhe Institute of Technology"
person:elena-simperl,Elena Simperl,iswc2012:paper/research-41,,,"AIFB, Karlsruhe Institute of Technology"
